id,name,description,icons,image_caption,organization,primary_contact,referral,street_address_1,street_address_2,city,state,zip,county,website,email,phone,latitude,longitude,Assessment and Diagnosis,Treatment and Therapies ,Treatment and Therapies ,Treatment and Therapies ,Physical and Mental Health ,Education and Technology ,Adulthood and Transition,Family Supports and Parent Training,Financial Assistance and Advocacy,National ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
17,Take a Break: Respite Care Program ,"Spring Hill Baptist Church provides a respite care program for families of children with special needs by providing support, prayer, mentoring, and resources. It is held first Saturdays of the months from October to May and application is needed.  ",,,,Liz Banning ,,"Spring Hill Baptist Church, 2620 Frays Mill Road",,Ruckersville,VA,22968,,http://www.springhillbaptist.org/special-needs.html,specialneeds@springhillbaptist.org,(434) 985-5002,38.1909652,-78.4080507,,,,,     Wellness,,,      Respite ,,         Charlottesville ,,,,,
18,Tune In: Support Group for parents of children with ADHD/ADD,"Tune In is a parent-run support group for caregivers and parents of children and youth with ADD/ADHD in Charlottesville and surrounding areas. It provides an opportunity to meet and share experiences with people who understand, share resources and provide support, conversation, and camaraderie.  ",,,,,,"Fontana Clubhouse, 111 Fontana Court ",,Charlottesville,VA,22911,,https://www.facebook.com/groups/TUNIEINADHD/,,,38.037545,-78.442024,,,,,              ADHD,,,      Support Groups,,         Charlottesville ,Pre-K (0 - 5 years),School age (6 - 13 years),,,
19,Virginia Institute of Autism - James. C. Homel School ,"VIA’s James C. Hormel School is a full-time, year-round day school providing education and clinical programs proven to address the core symptoms of autism spectrum disorder. It integrates different disciplines such as applied behavior analysis, early childhood special education, and speech-language pathology to create a comprehensive program. The school is licensed through the Virginia Department of Education and accredited through the Virginia Association of Independent Specialized Education Facilities.",,,,Family Navigator: Hilary Nagel ,,1414 Westwood Road,,Charlottesville ,VA,22903-5149,,https://www.viaschool.org/families/services/james-c-hormel-school/,information@viaschool.org,(434) 923-8252,38.0439355,-78.4802248,,,,,,     School,,,,         Charlottesville ,,School age (6 - 13 years),Transition age (14 - 22 years),,
20,"ABA VA, LLC (ABA Therapy) - Charlottesville","ABA VA LLC provides a wide variety of in-home ABA (Applied Behavior Analysis) services—verbal behavior programming, discrete trial training, social skills training, natural environment training, functional behavior assessments, behavior intervention plans, parent training.These services are available for children from birth to early adulthood. ",,,,"Michelle Winsor, M.S., BCBA, LBA ",,,In-home Therapy,Charlottesville ,VA,22903,,http://www.abavallc.com/,michelle.winsor@ababehavioralgroup.com,(540) 317-0460,38.0293059,-78.4766781,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Charlottesville ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
21,ABC Behavior - Charlottesville ,"ABC Behavior Charlottesville provides ABA (Applied Behavior Analysis) for children from 2 to 18 with varying diagnoses, including Autism, Down Syndrome, ADHD and several other developmental disorders in the home, clinic, and school environments. ",,,ABC Behavior,Helayna Banks,,,In-home Therapy,Charlottesville,VA,22903,Albemarle,http://www.abcbehavior.org,helayna.banks@abcbehavior.org,(804) 908-6093,38.0293059,-78.4766781,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Charlottesville ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
22,Aligned Clinical & Educational Services (ACES) - Charlottesville,"Aligned Clinical & Educational Services (ACES) in Charlottesville offers ABA (Applied Behavior Analysis), psychotherapy, counseling, contemplative education, and educational consulting for children and adults with Autism. In addition, they offer special services for hearing and speech issues.",,,A.C.E.S Aligned Clinical and Educational Services,,,"325 Four Leaf Lane, Suite 12",,Charlottesville,VA,22903,Albemarle,https://www.crozetaces.com/,,(434) 466-1588,38.0519224,-78.6808686,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Speech and Communication,    Mental Health ,,,,,         Charlottesville ,,,,,
23,Aligned Clinical & Educational Services (ACES) - Midlothian,"Aligned Clinical & Educational Services (ACES) in Midlothian offers ABA (Applied Behavior Analysis), psychotherapy, counseling, contemplative education, and educational consulting for children and adults with Autism. In addition, they offer special services for hearing and speech issues.",,,A.C.E.S Aligned Clinical and Educational Services,,,"420 East Millridge Parkway, Suite 206",,Midlothian,VA,23112,Chesterfield,https://www.crozetaces.com/,,(434) 466-1588,37.427166,-77.6465923,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Speech and Communication,    Mental Health ,,,,,         Richmond ,,,,,
24,Compass Counseling - Charlottesville,"The Compass in Charlottesville, VA offers ABA (Applied Behavior Analysis), outpatient therapy, and psychological testing. The program focuses to improve adaptive behaviors, train and support families, and coordinate with other service providers.",,,Compass Youth and Family Services,,,1006 E. Market St. Ste C,,Charlottesville,VA,22902,Albemarle,https://compassva.com/location/charlottesville/,,(434) 220-0089,38.0283313,-78.4727524,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,,,         Charlottesville ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
25,Virginia Institute of Autism - Outpatient Behavioral Services,"Virginia Institute of Autism (VIA) Outpatient Behavioral Services offers therapies, training, and consultation for children and adults with Autism in either an outpatient clinic or home-based setting. In addition, they offer diagnosis and assessment, outpatient speech therapy, and parent training/behavioral supports.",,,Virginia Institute of Autism Outpatient Behavioral Services,Dr. Emily Callahan,,"943 Glenwood Station LN, Suite 201",,Charlottesville,VA,22901,Albemarle,https://www.viaschool.org/,,(434) 923-8252,38.0763778,-78.4695302,     Psychological Testing ,    Applied Behavior Analysis,    Speech and Communication,,,,,      Support Groups,,         Charlottesville ,,,,,
26,"ABA VA, LLC (ABA Therapy) - Henrico","ABA VA LLC provides a wide variety of in-home ABA (Applied Behavior Analysis) services—verbal behavior programming, discrete trial training, social skills training, natural environment training, functional behavior assessments, behavior intervention plans, parent training.These services are available for children from birth to early adulthood. The service covered in Richmond, Hanover, Henrico and Chesterfield area. ",,,ABA Va LLC,,,,In-home Therapy,Henrico,VA,23229,Henrico,http://www.abavallc.com/,services@abavirginia.com,(804) 876-2223,37.5843082,-77.5734048,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,,,,,
27,ABC Behavior - Richmond,"ABC Behavior provides ABA (Applied Behavior Analysis) in home and school settings for individuals with developmental disabilities after using personal interviews, functional behavior assessments, VB MAPP, PEAK or ABLLS to set up a behavior treatment plan. The behavior treatment plan may include behavior management, communication skills, transitioning skills, social and life skills, or assistance with fine/gross motor skills.",,,ABC Behavior,Rachel Rowden,,,In-home Therapy,Richmond ,VA,23223,,http://www.abcbehavior.org/rachel-rowden,rachel.rowden@abcbehavior.org,(571) 212-6627,37.5621276,-77.3668965,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
28,ABC Behavior - Ashland,"ABC Behavior provides ABA (Applied Behavior Analysis) in home, residential and school settings for individuals with developmental disabilities after using personal interviews, functional behavior assessments, VB MAPP, PEAK or ABLLS to set up a behavior treatment plan. The behavior treatment plan may include behavior management, communication skills, transitioning skills, social and life skills, or assistance with fine/gross motor skills.",,,,Jacqueline Donaghy,,,In-home Therapy,Ashland ,VA,23005,,http://www.abcbehavior.org/jackie-donaghy,jdonaghy@abcbehavior.org,(571) 233-5924,37.7590318,-77.4799837,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
29,ABC Behavior - Middle Peninsula Region,"ABC Behavior provides ABA (Applied Behavior Analysis) for individuals with developmental disabilities after using personal interviews, functional behavior assessments, VB MAPP, PEAK or ABLLS to set up a behavior treatment plan. The behavior treatment plan may include behavior management, communication skills, transitioning skills, social and life skills, or assistance with fine/gross motor skills.",,,,April Vian ,,,In-home Therapy,Gloucester,VA,23061,,http://www.abcbehavior.org/april-vian,april.vian@abcbehavior.org,(804) 384-7242,37.4128281,-76.5025742,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
30,Atlas Behavior Consulting,"Atlas Behavior Consulting provides training for both parents and families as well as schools and educators. For parents, Atlas Behavior Consulting provides early intervention, parent training, and home-based interventions. For schools, they provide individual student assessment, individual behavior plan development, staff and team training, and transition services.",,,Atlas Behavior Consulting,,,,In-home Therapy,Richmond ,VA,23223,,http://www.atlasbehaviorconsulting.com/,info@atlasbehaviorconsulting.com,(804) 201-9772,37.5621276,-77.3668965,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
31,Behavioral Health and Wellness - Richmond,"Behavior Health & Wellness Center in Richmond, Virginia Beach, Newport News and Fredericksburg, Virginia specializes in Applied Behavior Analysis and Behavior Therapy for families needing support and therapeutic services. This is facilitated through developmental programs, behavior support, communication, and activities of daily living support through the modality of Applied Behavior Analysis (ABA).",,,Behavioral Health and Wellness,Nita,,"2025 E Main Street, Suite 015",,Richmond,VA,23223,,http://www.bhwc-va.com/,info@bhwc-va.com,(877) 707-5220,37.531271,-77.4253284,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,,,         Richmond ,,,,,
32,Building Blocks ABA,"Building Blocks uses ABA (Applied Behavior Analysis) to treat problem behaviors (i.e. elopement, self-injury, mood instability) and build life skills (i.e. social skills, self-management, independence). After an in-depth initial assessment, a clear treatment plan is developed to address problem behaviors and life skills.",,,Building Blocks ABA,,,P.O. Box 70463,,Henrico,VA,23255,Henrico,https://www.buildingblocksaba.com/,info@buildingblocksaba.com,(804) 591-6732,37.61,-77.5699999,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,,,,,
33,Centra Autism In-Home Services - Petersburg,"The Centra Autism and Development Center offers in-home ABA (Applied Behavior Analysis) Therapy. Centra's in-home services provide ABA therapy in conjunction with person-centered treatment to reduce maladaptive behaviors and teach adaptive communication and social skills, for clients up to age 21. ",https://goo.gl/images/Lw6gT8,Centa Logo ,Centra Autism and Development Center ,Tara Ernst ,,,In-home Therapy,Petersburg,VA,23803,,https://www.centrahealth.com/services/home-services,,(434) 485-4763,37.2279279,-77.4019267,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
34,Civitas Health Services - Therapeutic Day Treatment,"Civitas Health Services provides ABA (Applied Behavior Analysis) therapy, outpatient, and mental health skill building services. This location offers therapeutic day treatment and possesses the Raymond Paige Youth Center.",,,"Civitas Health Services, Inc.",,,5701 S. Laburnum Avenue,,Richmond,VA,23231,Henrico,https://www.civitashealth.com/,info@civitashealth.com,(804) 737-3917,37.50667,-77.3492,,    Counseling,,,    Mental Health ,,,,,         Richmond ,,,,,
35,Civitas Health Services - Outpatient Therapy - Richmond,"Civitas Health Services provides ABA (Applied Behavior Analysis) therapy, outpatient, and mental health skill building services. This location offers outpatient therapy in Richmond, VA.",,,"Civitas Health Services, Inc.",,,5705 S. Laburnum Avenue,,Richmond,VA,23231,Henrico,https://www.civitashealth.com/,info@civitashealth.com,(804) 737-3917,37.5069844,-77.3494252,,    Counseling,,,    Mental Health ,,,,,         Richmond ,,,,,
36,Civitas Health Services - Outpatient Therapy - Ashland,"Civitas Health Services provides ABA (Applied Behavior Analysis) therapy, outpatient, and mental health skill building services. This location offers outpatient therapy in Hanover, VA.",,,"Civitas Health Services, Inc.",,,9568 Kings Charter Drive,,Ashland,VA,23005,Hanover,https://www.civitashealth.com/,info@civitashealth.com,(804) 496-6559,37.6939916,-77.4367703,,    Counseling,,,    Mental Health ,,,,,         Richmond ,,,,,
37,Civitas Health Services - ABA Therapy ,"Civitas Health Services provides ABA (Applied Behavior Analysis) therapy, outpatient, and mental health skill building services. This location offers ABA Therapy in Richmond, VA.",,,"Civitas Health Services, Inc.",,,5663 S. Laburnum Avenue,,Richmond,VA,23231,Henrico,https://www.civitashealth.com/,info@civitashealth.com,(804) 737-3917,37.507072,-77.34907,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,,,,,
38,Compass Counseling - Richmond,"The Compass in Richmond, VA offers ABA (Applied Behavior Analysis), family support and psychological testing. The program focus to improve adaptive behaviors, train and support families, and coordinate with other service providers",,,Compass,,,"10124 West Broad Street, Suite A,",,Glen Allen,VA,23060,Henrico,https://compassva.com/location/richmond/,,(804) 372-0151,37.6472845,-77.5715398,     Psychological Testing ,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,     Support Plans,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
39,Comprehensive Early Autism Services,"Comprehensive Early Autism Services provide in-home ABA (Applied Behavior Analysis) for children with Autism. The therapy is designed to help improve skills across behavior planning, fine/gross motor skills, language and communication, play skills, and social skills.",,,Comprehensive Early Autism Services,,,,In-home Therapy,Richmond,VA,23227,,https://earlyautismservices.com/aba-therapy-autism/locations/virginia/richmond/,info@earlyautismtherapy,(804) 401-5038,37.6115093,-77.4357739,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),,,
40,Dominion Youth Services,"Dominion Youth Services offers ABA (Applied Behavior Analysis) services, mental health services, education services, intellectual and developmental disabilities services, and outpatient services. In addition, they also provide a private day school, through Dominion Academy, that provides a structured educational setting for special education students. ",,,Dominion ABA,,,5408 Chamberlayne Ave,,Richmond,VA,23227,,https://dominionyouthservices.com/,,(855) 444-9838,37.6164379,-77.4547807,,    Applied Behavior Analysis,    Counseling,    Medication,    Mental Health ,     School,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
41,Family Insight - Richmond,"The Family Insight in Richmond offers community-based counseling services in the middle region of Virginia. Along with Licensed Mental Health Professionals who provide mental health services, a staff of board-certified registered behavior technicians supervised by BCBAs, and BCaBAs provide ABA (Applied Behavior Analysis ) Therapy for children with autism.  ",,,Family Insight,,,"7113 Three Chopt Road, Suite 301",,Richmond,VA,23226,,https://familyinsight.net/location/richmond-va/,peter.doyle@familyinsight.net,(804) 562-9997,37.5928428,-77.5322686,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
42,Family Priority,Family Priority provides ABA (Applied Behavior Analysis) based on functional behavior assessment. It also provides individual counseling as well as parent coaching program. ,,,Family Priority,,,9201 Arboretum Pkwy Suite 160,,Richmond,VA,23236,Henrico,https://familypriority.com/,familypriorityrichmond@familypriority.com,(804) 912-1338,37.4933099,-77.5698589,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,      Parent Training ,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
43,Behavior Innovations - Glen Allen,"Behavior Innovations provides both in-home and center-based ABA therapy. In addition, they provide training and support for parents of children with ASD.",,,Behavior Innovations,,,4440 Springfield Road #103,,Glen Allen,VA,23060,Henrico,http://www.abatherapy.me/,info@abatherapy.me,(540) 755-2937,37.6509204,-77.5612564,,    Applied Behavior Analysis,    Early Intervention,,,,,      Parent Training ,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
45,Next Steps Behavioral Centers - Henrico,"Next Steps provides ABA (Applied Behavior Analysis) and EIBI (Early Intensive Behavior Intervention) for children, teenagers, and young adults. Next Steps offers both in home and center-based therapies. *Accepts Medicaid, Tricare, and various other insurance plans.",,,Next Steps Behavioral Centers,,,9351 W Broad St.,,Henrico,VA,23294,Henrico,http://nextstepsbc.com/locations/henrico/,info@nextstepsbc.com,(804) 596-3275,37.6387005,-77.5562234,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,,,,,
46,Next Steps Behavioral Centers - Mechanicsville,"Next Steps provides ABA (Applied Behavior Analysis) and EIBI (Early Intensive Behavior Intervention) for children, teenagers, and young adults. Next Steps offers both in home and center-based therapies. *Accepts Medicaid, Tricare, and various other insurance plans.",,,Next Steps Behavioral Centers,,,7423 Lee Davis Rd,,Mechanicsville,VA,23111,Hanover,http://nextstepsbc.com/locations/mechanicsville/,info@nextstepsbc.com,(804) 596-3275,37.6093492,-77.339352,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,,,,,
47,Next Steps Behavioral Centers - Midlothian,"Next Steps provides ABA (Applied Behavior Analysis) and EIBI (Early Intensive Behavior Intervention) for children, teenagers, and young adults. Next Steps offers both in home and center-based therapies. *Accepts Medicaid, Tricare, and various other insurance plans.",,,Next Steps Behavioral Centers,,,5949 Harbor Park Dr.,,Midlothian,VA,23122,Chesterfield,http://nextstepsbc.com/locations/midlothian/,info@nextstepsbc.com,(804) 596-3275,37.413699,-77.64836,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,,,,,
48,Next Steps Behavioral Centers - Charlottesville,"Next Steps provides ABA (Applied Behavior Analysis) and EIBI (Early Intensive Behavior Intervention) for children, teenagers, and young adults. Next Steps offers both in home and center-based therapies. *Accepts Medicaid, Tricare, and various other insurance plans.",,,Next Steps Behavioral Centers,Matthew Taylor,,923 Garden Blvd,,Charlottesville,VA,22901,Albemarle,http://nextstepsbc.com/locations/charlottesville/,info@nextstepsbc.com,(919) 880-7220,38.0846631,-78.4706103,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Charlottesville ,,,,,
49,Recognizing Children’s Gifts,"Recognizing Children’s Gifts provides naturalistic ABA (Applied Behavioral Analysis) strategies to expand children's communication skills, interpersonal exchange, and socialization skills. RCG also offers school preparatory program and after school program and life preparatory program for young adults with autism. ",,,Recognizing Children’s Gifts,,,1107 Alverser Drive,,Midlothian,VA,23113,Chesterfield ,http://rcghealthnetwork.com/,info@rcghealthnetwork.com,(804) 897-1753,37.5069767,-77.6171531,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,     School,      Adult Programs ,,,         Richmond ,,,,,
